label,feature,importance
kpop_strict_artist_title,mode,0.18195214072524538
kpop_strict_artist_title,key,0.10593783194250697
kpop_strict_artist_title,loudness,0.09922400391395138
kpop_strict_artist_title,tempo,0.09281772828344388
kpop_strict_artist_title,duration_ms,0.08835487480287155
kpop_strict_artist_title,speechiness,0.08061051139900512
kpop_strict_artist_title,acousticness,0.07334509841487057
kpop_strict_artist_title,energy,0.07164189093561722
kpop_strict_artist_title,danceability,0.05638909027437821
kpop_strict_artist_title,valence,0.05293374278603157
kpop_strict_artist_title,liveness,0.04825575285467182
kpop_strict_artist_title,instrumentalness,0.04630561336906063
kpop_strict_artist_title,time_signature,0.0022317202983455726
kpop_loose_title_only,mode,0.17429065772314284
kpop_loose_title_only,key,0.11829042777893439
kpop_loose_title_only,duration_ms,0.082567034749177
kpop_loose_title_only,acousticness,0.08253118932055649
kpop_loose_title_only,speechiness,0.08173689996445661
kpop_loose_title_only,tempo,0.07060902815075537
kpop_loose_title_only,valence,0.07016279823125489
kpop_loose_title_only,loudness,0.06770301445575962
kpop_loose_title_only,danceability,0.06647513474092502
kpop_loose_title_only,energy,0.06128459538222433
kpop_loose_title_only,liveness,0.06077065013291004
kpop_loose_title_only,instrumentalness,0.056175753120255745
kpop_loose_title_only,time_signature,0.007402816249647641
spotify_popularity_proxy,mode,0.15336341000913625
spotify_popularity_proxy,loudness,0.09937426183070606
spotify_popularity_proxy,key,0.08281360836098658
spotify_popularity_proxy,duration_ms,0.07933406166074893
spotify_popularity_proxy,acousticness,0.07821587436340476
spotify_popularity_proxy,instrumentalness,0.07611400801988455
spotify_popularity_proxy,energy,0.07296605903816906
spotify_popularity_proxy,valence,0.07121094182341786
spotify_popularity_proxy,speechiness,0.062222224413926955
spotify_popularity_proxy,liveness,0.05983290719960919
spotify_popularity_proxy,danceability,0.05834770584726214
spotify_popularity_proxy,tempo,0.05681639300261164
spotify_popularity_proxy,time_signature,0.04938854443013598
