label,feature,importance
strict_all_years_artist_title,duration_ms,0.11871796452071537
strict_all_years_artist_title,loudness,0.10401491986838593
strict_all_years_artist_title,tempo,0.09813600522512639
strict_all_years_artist_title,acousticness,0.09673516114742092
strict_all_years_artist_title,key,0.09545587831211376
strict_all_years_artist_title,danceability,0.08867102490193673
strict_all_years_artist_title,energy,0.0831445149506825
strict_all_years_artist_title,liveness,0.08246161410310529
strict_all_years_artist_title,speechiness,0.07815614520607653
strict_all_years_artist_title,valence,0.07558219507594487
strict_all_years_artist_title,instrumentalness,0.06164145051521068
strict_all_years_artist_title,mode,0.014856618834267915
strict_all_years_artist_title,time_signature,0.0024265073390131366
loose_all_years_title_only,key,0.11939243546160863
loose_all_years_title_only,speechiness,0.09538497617295842
loose_all_years_title_only,loudness,0.09405875729996653
loose_all_years_title_only,acousticness,0.09000246968706596
loose_all_years_title_only,duration_ms,0.08967080537612686
loose_all_years_title_only,tempo,0.088655262577367
loose_all_years_title_only,liveness,0.0857897896846206
loose_all_years_title_only,valence,0.08575472096419759
loose_all_years_title_only,danceability,0.08541800435622442
loose_all_years_title_only,energy,0.08221040164053134
loose_all_years_title_only,instrumentalness,0.06287415264750214
loose_all_years_title_only,mode,0.01629724199205649
loose_all_years_title_only,time_signature,0.004490982139773995
spotify_popularity_proxy_top30,loudness,0.11783395678112585
spotify_popularity_proxy_top30,duration_ms,0.1058661736872254
spotify_popularity_proxy_top30,acousticness,0.09726405923523973
spotify_popularity_proxy_top30,valence,0.09109047675083419
spotify_popularity_proxy_top30,speechiness,0.0892848280957072
spotify_popularity_proxy_top30,energy,0.08781581170127721
spotify_popularity_proxy_top30,tempo,0.08539817796250039
spotify_popularity_proxy_top30,danceability,0.08528481134666058
spotify_popularity_proxy_top30,liveness,0.08410250307823412
spotify_popularity_proxy_top30,instrumentalness,0.07691871411113273
spotify_popularity_proxy_top30,key,0.05738609571854718
spotify_popularity_proxy_top30,mode,0.011679096196315065
spotify_popularity_proxy_top30,time_signature,0.010075295335200483
